edad,clase_trabajadora,nivel_educativo,anos_educacion,estado_civil,ocupacion,relacion_familiar,raza,sexo,horas_semana,pais_origen,ingresos
23,Privada,Bachillerato,13,Soltero/a,Ventas,Sin familia,Blanco/a,Hombre,43,China,<=50K
30,Privada,Algo de universidad,10,Divorciado/a,Administración,Cónyuge,Blanco/a,Mujer,33,Estados Unidos,>50K
28,Autónomo no inc.,Algo de universidad,10,Divorciado/a,Ventas,Cónyuge,Blanco/a,Hombre,14,Estados Unidos,<=50K
30,Privada,Secundaria,9,Casado/a,Técnico especializado,Hijo/a,Blanco/a,Hombre,51,Estados Unidos,<=50K
21,Privada,Secundaria,9,Casado/a,Servicios domésticos,Sin familia,Negro/a,Hombre,53,Estados Unidos,<=50K
24,Privada,Grado universitario,13,Casado/a,Construcción/Reparación,Hijo/a,Blanco/a,Hombre,21,Estados Unidos,<=50K
45,Autónomo no inc.,Grado universitario,13,Casado/a,Construcción/Reparación,Cónyuge,Negro/a,Hombre,50,Estados Unidos,<=50K
35,Privada,Grado universitario,13,Soltero/a,Agricultura,Hijo/a,Blanco/a,Hombre,35,Estados Unidos,>50K
57,Privada,Secundaria,9,Casado/a,Técnico especializado,Cónyuge,Blanco/a,Mujer,44,Estados Unidos,<=50K
49,Privada,Secundaria,9,Soltero/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,40,Estados Unidos,>50K
44,Gobierno local,Grado universitario,13,Casado/a,Agricultura,Hijo/a,Blanco/a,Mujer,53,Estados Unidos,>50K
34,Privada,Grado universitario,13,Soltero/a,Técnico especializado,Hijo/a,Blanco/a,Hombre,35,Estados Unidos,<=50K
43,Privada,Secundaria,9,Soltero/a,Construcción/Reparación,Soltero/a,Asiático/a,Hombre,38,Estados Unidos,>50K
24,Privada,Secundaria,9,Divorciado/a,Técnico especializado,Cónyuge,Negro/a,Hombre,28,Estados Unidos,<=50K
42,Privada,Secundaria,9,Soltero/a,Ejecutivo/Directivo,Sin familia,Blanco/a,Hombre,39,Estados Unidos,<=50K
26,Gobierno federal,Algo de universidad,10,Casado/a,Técnico especializado,Sin familia,Blanco/a,Hombre,40,Estados Unidos,<=50K
46,Privada,Grado universitario,13,Casado/a,Seguridad,Cónyuge,Blanco/a,Hombre,25,Estados Unidos,>50K
33,Privada,Grado universitario,13,Divorciado/a,Ventas,Cónyuge,Blanco/a,Mujer,46,Estados Unidos,<=50K
19,Privada,Grado universitario,13,Soltero/a,Agricultura,Sin familia,Blanco/a,Mujer,54,Estados Unidos,<=50K
40,Privada,Bachillerato,13,Soltero/a,Técnico especializado,Cónyuge,Blanco/a,Hombre,50,Estados Unidos,>50K
47,Privada,Algo de universidad,10,Soltero/a,Otros servicios,Otro familiar,Blanco/a,Hombre,28,Estados Unidos,<=50K
20,Privada,Máster,14,Casado/a,Agricultura,Sin familia,Blanco/a,Hombre,30,Estados Unidos,>50K
19,Autónomo no inc.,Algo de universidad,10,Casado/a,Otros servicios,Cónyuge,Negro/a,Hombre,39,India,<=50K
36,Gobierno autonómico,Máster,14,Soltero/a,Construcción/Reparación,Cónyuge,Blanco/a,Mujer,48,Estados Unidos,>50K
