nombre_deportista,nacionalidad,deporte,disciplina,club_equipo,fecha_control,tipo_control,sustancia_metodo,categoria_sustancia,organismo_sancionador,fecha_sancion,duracion_sancion_anos,inhabilitado_hasta,multa_euros,anulacion_resultados,desde_fecha_anulacion,motivo_alegado,url_noticia
Alejandro Gómez (Papu Gómez),Argentina,Fútbol,Fútbol 11,Sevilla FC (en el momento del positivo),Octubre 2022,En competición / fuera,Terbutalina,Estimulante,CELAD / FIFA,20/10/2023,2,Octubre 2025,3000,Sí,Octubre 2022,Ingestión involuntaria de jarabe para la tos del hijo (Flutox),https://iusport.com/art/124760/la-fifa-inhabilita-2-anos-por-dopaje-al-papu-gomez-que-podria-retirarse
Mohamed Katir,España,Atletismo,Fondo (1500m / 5000m),Real Federación Española de Atletismo,28/02/2023 / 03/04/2023 / 10/10/2023,Fuera de competición (localización),Tres fallos de localización + manipulación de documentos,Infracción de procedimiento,AIU (Unidad de Integridad del Atletismo),16/02/2024 → ampliada 20/12/2024,4,06/02/2028,No especificada,Sí,09/03/2023,Fallos en sistema ADAMS + falsificación de documentos de viaje,https://iusport.com/art/135896/a-katir-que-tenia-dos-anos-por-dopaje-le-caen-otros-dos-excluido-hasta-2028
Ouassim Oumaiz,España,Atletismo,Fondo (5000m),Club Atletismo Nerja / CAR Madrid,Enero 2024,Fuera de competición,GHRP-2 (péptido liberador hormona de crecimiento),Hormona y modulador metabólico,CELAD,13/03/2025,4,07/06/2028,3001,Sí,Enero 2024,No alegó justificación válida,https://www.soycorredor.es/atletismo/celad-impone-sancion-definitiva-4-anos-ouassim-oumaiz_307330_102.html
Yassine Ouhdadi El Ataby,España (origen marroquí),Atletismo paralímpico,5000m T13 (discapacidad visual),CAR Sant Cugat,28/07/2024,Fuera de competición,Clostebol (metabolito) - Esteroide anabolizante androgénico,Esteroide anabolizante,IPC (Comité Paralímpico Internacional),02/06/2025,3,08/09/2027,No especificada,Sí,28/07/2024,Alega contaminación involuntaria; no pudo acreditar el origen,https://www.infobae.com/america/agencias/2025/06/02/el-campeon-paralimpico-espanol-yassine-ouhdadi-sancionado-tres-anos-por-dopaje/
Oier Lazkano,España,Ciclismo,Ruta (profesional),Movistar Team,2022 / 2023 / 2024,Fuera de competición (pasaporte biológico),Anomalías en pasaporte biológico,Pasaporte biológico,UCI (Unión Ciclista Internacional),2025,Pendiente de resolución definitiva,Por determinar,No especificada,Pendiente,Por determinar,No ha realizado declaraciones públicas,https://www.ciclo21.com/oier-lazkano-suspendido-dopaje-2025/
Fernando Verdasco,España,Tenis,Tenis individual ATP,Circuito ATP,Febrero 2022,En competición (Challenger Río de Janeiro),Metilfenidato (TDAH),Estimulante,ITIA (Agencia Internacional de Integridad del Tenis),2022,0.16 (dos meses),Abril 2022,No especificada,No,—,TUE caducada; uso legítimo de medicamento recetado para el TDAH sin renovar el permiso,https://espndeportes.espn.com/tenis/nota/_/id/11303239/verdasco-acepto-sancion-dopaje-involuntario
Alejandro Papu Gómez / Raúl de Tomás (Rdt),España,Fútbol,Fútbol 11,Almería CF (Eteki) / RCD Espanyol (Rdt),Varios 2017-2021,Varios,Betametasona / Varias sustancias,Glucocorticoide,CELAD,Archivados sin sanción efectiva,0,—,0,No,—,Justificación médica aceptada; WADA señaló irregularidades en el proceso,https://www.goal.com/es-mx/listados/dopaje-en-la-liga-agencia-espanola-bajo-la-lupa-tras-no-investigar-11-pruebas-positivas-en-los-ultimos-anos/blt0a7f5982ad7fb164
Jazmín Leah Arjona Hammersley,España,Lucha,Lucha olímpica,Federación Española de Lucha,2024,No especificado,Infracción antidopaje (sustancia no publicada),No especificada,CELAD,2025,No especificada,Por determinar,No especificada,Sí,2024,Sin declaraciones públicas; pérdida condición deportista alto rendimiento,https://www.infobae.com/espana/deportes/2025/09/30/fueron-sancionados-por-dopaje-y-ahora-espana-les-quita-la-condicion-de-deportistas-de-alto-rendimiento-de-un-escalador-a-un-luchador-olimpico/
Víctor Wally Cuartas,España,Escalada deportiva,Escalada olímpica,Federación Española de Deportes de Montaña y Escalada,2024,No especificado,Infracción antidopaje (sustancia no publicada),No especificada,CELAD,2025,No especificada,Por determinar,No especificada,Sí,2024,Sin declaraciones públicas; pérdida condición deportista alto rendimiento,https://www.infobae.com/espana/deportes/2025/09/30/fueron-sancionados-por-dopaje-y-ahora-espana-les-quita-la-condicion-de-deportistas-de-alto-rendimiento-de-un-escalador-a-un-luchador-olimpico/
Germán Darío Gómez,Colombia,Ciclismo,Ruta (profesional),Equipo Polti-Kometa (equipo de Alberto Contador),28/12/2025,Fuera de competición,Boldenona,Esteroide anabolizante,UCI,Enero 2026,Suspensión provisional activa,Por determinar,No especificada,Provisional,28/12/2025,Sin declaraciones públicas,https://www.ciclo21.com/dopaje-positivo-de-german-gomez-del-polti-de-contador/
Alejandro Papu Gómez,Argentina,Fútbol,Fútbol 11,Sevilla FC,Octubre 2022,En competición,Terbutalina,Estimulante,CELAD,20/10/2023,2,Octubre 2025,3000,Sí,Octubre 2022,Jarabe tos hijo (Flutox); CELAD aplicó sanción máxima por negligencia grave,https://www.infobae.com/deportes/2023/11/23/las-decisiones-del-papu-gomez-que-lo-pusieron-en-jaque-por-el-caso-de-dopaje/
